8766_reviewed	amyloid-beta clearance by transcytosis
23433_reviewed	actin filament organization
23265_reviewed	exocytosis
54984_reviewed	mitotic metaphase chromosome alignment
10549_reviewed	cell redox homeostasis
29993_reviewed	actin filament organization
10628_reviewed	cellular response to oxidised low-density lipoprotein particle stimulus
27033_reviewed	negative regulation of transcription by RNA polymerase II
10675_reviewed	cell projection morphogenesis
10188_reviewed	endocytosis
9670_reviewed	protein import into nucleus
5080_reviewed	astrocyte differentiation
23594_reviewed	DNA replication initiation
23431_reviewed	intracellular protein localization
10717_reviewed	intracellular protein localization
64105_reviewed	chromosome segregation
55553_reviewed	brain development
326_reviewed	central tolerance induction to self antigen
1894_reviewed	activation of GTPase activity
50855_reviewed	cell division
10128_reviewed	autophagy
55201_reviewed	apoptotic process
26353_reviewed	cellular response to unfolded protein
3315_reviewed	anterograde axonal protein transport
51298_reviewed	cell differentiation
22948_reviewed	binding of sperm to zona pellucida
8500_reviewed	cell-matrix adhesion
28964_reviewed	brain development
5914_reviewed	apoptotic cell clearance
7353_reviewed	cellular response to misfolded protein
55666_reviewed	ERAD pathway
57761_reviewed	cellular response to insulin stimulus
468_reviewed	bone mineralization
9915_reviewed	brain development
10499_reviewed	cellular response to hormone stimulus
2672_reviewed	cellular response to lipopolysaccharide
83737_reviewed	apoptotic process
96764_reviewed	7-methylguanosine cap hypermethylation
4016_reviewed	aorta development
10516_reviewed	cell-matrix adhesion
4536_reviewed	aerobic respiration
26994_reviewed	protein autoubiquitination
2060_reviewed	clathrin coat assembly
9351_reviewed	protein localization to plasma membrane
1734_reviewed	hormone biosynthetic process
23032_reviewed	axon guidance
10210_reviewed	DNA damage response
5187_reviewed	chromatin remodeling
1407_reviewed	circadian regulation of gene expression
8864_reviewed	chromatin remodeling
406_reviewed	circadian regulation of gene expression
55145_reviewed	DNA-templated transcription
5074_reviewed	actin filament bundle assembly
3297_reviewed	cellular response to angiotensin
8189_reviewed	cell adhesion
1838_reviewed	neuron differentiation
3798_reviewed	anterograde axonal protein transport
4173_reviewed	DNA replication
8543_reviewed	motor neuron axon guidance
898_reviewed	cell division
8452_reviewed	anaphase-promoting complex-dependent catabolic process
2890_reviewed	behavioral response to pain
2037_reviewed	actomyosin structure organization
6272_reviewed	D-glucose import
23062_reviewed	Golgi to plasma membrane protein transport
118460_reviewed	DNA deamination
11340_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
23016_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
23369_reviewed	3'-UTR-mediated mRNA destabilization
340719_reviewed	cell migration
51147_reviewed	apoptotic process
22818_reviewed	intra-Golgi vesicle-mediated transport
51226_reviewed	intra-Golgi vesicle-mediated transport
22866_reviewed	intracellular signal transduction
149371_reviewed	endosome organization
55770_reviewed	exocytosis
64130_reviewed	exocytosis
140290_reviewed	negative regulation of transcription by RNA polymerase II
10608_reviewed	negative regulation of transcription by RNA polymerase II
27289_reviewed	actin filament organization
91544_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
11244_reviewed	cell differentiation
23051_reviewed	cell differentiation
1912_reviewed	negative regulation of DNA-templated transcription
10092_reviewed	actin cytoskeleton organization
10093_reviewed	actin filament polymerization
116154_reviewed	actin cytoskeleton organization
5499_reviewed	branching morphogenesis of an epithelial tube
26059_reviewed	maintenance of presynaptic active zone structure
8497_reviewed	synapse organization
51160_reviewed	macroautophagy
9033_reviewed	cellular response to acidic pH
7137_reviewed	cardiac muscle contraction
51086_reviewed	bundle of His cell to Purkinje myocyte communication
27252_reviewed	cytoskeleton organization
51013_reviewed	RNA catabolic process
5218_reviewed	cell division
23176_reviewed	cytoskeleton-dependent cytokinesis
9874_reviewed	chromatin organization
25842_reviewed	DNA repair
55723_reviewed	blastocyst hatching
7936_reviewed	negative regulation of transcription by RNA polymerase II
25920_reviewed	cell population proliferation
7920_reviewed	monoacylglycerol catabolic process
6048_reviewed	endoplasmic reticulum mannose trimming
1460_reviewed	adiponectin-activated signaling pathway
1459_reviewed	apoptotic process
56658_reviewed	apoptotic process
83461_reviewed	cell division
10241_reviewed	positive regulation of autophagosome maturation
